==========================================
[0, 347, 37, 28, 25, 24, 21]
[1, 17, 14, 14, 13, 13, 13]
[2, 10, 9, 9, 9, 9, 9]
[3, 17, 14, 13, 13, 13, 13]
[4, 10, 9, 9, 9, 9, 9]
[5, 13, 11, 10, 10, 10, 10]
[6, 6, 6, 5, 5, 5, 5]
[7, 20, 13, 12, 12, 12, 12]
[8, 8, 5, 5, 5, 5, 5]
[9, 57, 30, 26, 24, 23, 21]
[10, 10, 10, 10, 10, 10, 10]
[11, 1, 1, 1, 1, 1, 1]
[12, 1, 1, 1, 1, 1, 1]
[13, 31, 27, 23, 22, 22, 21]
[14, 15, 13, 11, 11, 10, 10]
[15, 1, 1, 1, 1, 1, 1]
[16, 9, 9, 9, 9, 9, 9]
[17, 13, 12, 10, 9, 9, 9]
[18, 1, 1, 1, 1, 1, 1]
[19, 16, 9, 9, 8, 7, 7]
[20, 15, 11, 10, 10, 10, 9]
[21, 65, 34, 27, 25, 24, 21]
[22, 11, 10, 9, 9, 9, 9]
[23, 17, 7, 7, 7, 7, 7]
[24, 16, 15, 15, 15, 15, 15]
[25, 69, 32, 27, 24, 23, 21]
[26, 68, 36, 28, 25, 24, 21]
[27, 5, 5, 5, 5, 5, 5]
[28, 13, 11, 11, 10, 10, 10]
[29, 13, 9, 9, 9, 9, 9]
[30, 17, 15, 15, 14, 14, 14]
[31, 23, 16, 15, 14, 14, 14]
[32, 6, 6, 6, 6, 6, 6]
[33, 2, 2, 2, 2, 2, 2]
[34, 5, 5, 5, 5, 5, 5]
[35, 2, 2, 2, 2, 2, 2]
[36, 11, 10, 10, 10, 10, 10]
[37, 1, 1, 1, 1, 1, 1]
[38, 9, 8, 8, 8, 8, 8]
[39, 15, 12, 12, 12, 12, 12]
[40, 44, 28, 24, 23, 22, 21]
[41, 24, 14, 11, 11, 10, 10]
[42, 2, 2, 2, 2, 2, 2]
[43, 1, 1, 1, 1, 1, 1]
[44, 6, 6, 6, 6, 6, 6]
[45, 12, 11, 11, 11, 11, 11]
[46, 5, 5, 5, 5, 5, 5]
[47, 2, 2, 2, 2, 2, 2]
[48, 22, 16, 14, 14, 14, 14]
[49, 4, 2, 2, 2, 2, 2]
[50, 11, 10, 10, 10, 10, 10]
[51, 7, 7, 7, 7, 7, 7]
