==========================================
0	43	32	30	28	28	28	
1	51	37	32	31	30	29	
2	94	50	42	37	36	34	
3	70	47	40	37	35	34	
4	95	52	43	39	37	34	
5	170	61	46	41	38	34	
6	114	51	40	36	34	33	
7	71	36	29	27	25	25	
8	36	28	27	25	24	22	
9	39	26	23	22	22	22	
10	47	35	34	32	31	31	
11	75	40	32	29	28	28	
12	57	37	30	28	27	27	
13	179	61	45	41	38	35	
14	79	45	38	34	32	30	
15	51	33	28	27	26	27	
16	74	52	45	41	38	35	
17	110	60	47	44	41	35	
18	55	42	37	34	33	31	
19	71	43	37	33	32	31	
20	73	47	40	37	36	34	
21	137	70	53	46	43	35	
22	14	13	13	13	13	14	
23	80	50	44	40	38	35	
24	39	30	29	28	28	28	
25	33	30	29	28	28	28	
26	34	29	28	28	27	28	
27	62	39	35	33	32	31	
28	104	66	52	46	42	35	
29	57	42	37	34	33	31	
30	67	45	39	37	35	34	
31	49	39	36	34	33	31	
32	34	30	29	28	28	28	
33	29	28	27	27	27	28	
34	30	28	27	27	27	28	
35	58	43	38	35	34	31	
36	44	36	34	33	32	31	
37	36	29	28	27	27	28	
38	46	35	32	30	29	29	
39	35	32	30	29	28	29	
40	59	36	33	32	31	31	
41	90	54	45	42	40	35	
42	74	52	46	41	40	35	
43	13	13	13	13	13	13	
44	105	57	45	42	40	35	
45	47	32	28	27	26	27	
46	72	49	46	42	40	35	
47	50	38	34	32	32	31	
48	58	37	33	32	31	31	
49	14	13	13	13	13	14	
50	16	14	14	14	14	15	
51	68	43	38	35	33	31	
52	25	20	19	19	19	20	
53	40	33	30	29	29	28	
54	50	37	34	33	32	32	
55	42	34	33	32	32	32	
56	47	34	33	32	32	32	
57	66	42	36	34	33	32	
58	125	63	51	44	41	35	
59	52	35	33	32	32	32	
60	54	37	33	31	30	28	
61	70	41	34	32	30	28	
62	215	75	54	46	43	35	
63	124	65	51	45	42	35	
64	169	68	48	42	39	35	
65	90	43	36	33	32	30	
66	35	26	24	23	23	24	
67	9	9	9	9	9	9	
68	47	37	34	34	33	32	
69	63	38	34	33	32	31	
70	18	17	17	17	17	17	
71	17	15	14	14	14	15	
72	8	7	7	7	7	7	
73	30	25	23	22	22	22	
74	92	47	40	37	35	34	
75	21	20	20	20	19	20	
76	23	21	21	21	21	22	
77	25	21	21	21	21	21	
78	23	21	21	21	21	21	
79	43	31	31	30	30	30	
80	71	47	41	38	37	34	
81	112	69	53	46	43	35	
82	232	79	55	47	44	35	
83	140	70	53	46	43	35	
84	131	54	43	39	38	35	
85	38	28	26	26	25	26	
86	217	70	50	44	41	35	
87	138	72	53	47	43	35	
88	32	26	25	25	25	26	
89	70	46	38	36	34	33	
90	28	24	23	23	22	23	
91	30	22	22	22	22	23	
92	43	29	27	27	27	27	
93	86	49	40	37	34	34	
94	43	32	29	28	28	27	
95	47	36	31	30	30	28	
96	119	54	44	40	37	34	
97	24	19	18	17	17	18	
98	24	20	19	18	18	19	
99	28	23	21	20	20	21	
100	40	26	23	22	21	21	
101	28	23	21	20	20	21	
102	22	19	19	18	18	19	
103	51	38	33	31	30	28	
104	32	30	29	28	28	28	
105	145	71	54	47	43	35	
106	141	70	53	46	43	35	
107	220	77	54	47	44	35	
108	42	30	28	27	27	28	
109	5	5	5	5	5	5	
110	10	9	9	9	9	10	
111	8	8	8	8	8	8	
112	20	18	18	18	18	19	
113	86	52	42	38	37	34	
114	141	73	54	47	43	35	
115	130	69	53	46	43	35	
116	82	49	40	37	36	34	
117	19	18	18	18	18	19	
118	31	25	24	24	24	25	
119	14	13	13	13	13	13	
120	18	17	17	17	17	18	
121	233	79	55	47	44	35	
122	26	23	21	21	21	22	
123	35	29	28	28	27	28	
124	43	28	25	23	23	23	
125	28	21	19	19	18	19	
126	34	29	28	28	28	28	
127	28	23	22	22	22	22	
128	145	74	54	47	44	35	
129	163	73	54	47	43	35	
130	36	28	26	25	25	26	
131	59	44	38	36	35	34	
132	62	48	41	38	36	34	
133	107	58	45	40	37	35	
134	24	17	15	15	15	16	
135	37	33	31	30	29	29	
136	28	28	28	28	28	29	
137	84	53	46	41	39	35	
138	32	28	28	28	28	28	
139	39	28	25	24	22	23	
140	40	28	25	24	22	23	
141	82	42	35	32	31	30	
142	140	70	52	46	42	35	
143	50	37	34	33	32	31	
144	14	14	14	14	14	15	
145	70	53	47	42	40	35	
146	29	25	24	24	23	24	
147	50	45	41	38	37	34	
148	19	17	16	16	16	17	
149	29	23	22	21	21	22	
150	38	31	30	29	28	28	
151	45	36	32	31	31	31	
152	69	50	45	41	39	35	
153	52	47	44	41	39	35	
154	53	46	43	41	39	35	
155	78	51	43	39	38	34	
156	23	18	17	17	17	17	
157	78	40	34	32	31	28	
158	48	33	30	29	29	30	
159	37	29	27	27	27	27	
160	346	75	53	46	43	35	
161	42	33	29	26	25	26	
162	64	42	37	34	33	31	
163	52	41	40	38	36	34	
164	47	33	28	27	26	27	
165	118	59	47	42	40	35	
166	176	72	52	45	42	35	
167	69	41	35	33	31	29	
168	76	45	40	37	35	34	
169	118	70	53	46	42	35	
170	97	55	46	43	40	35	
171	44	34	32	32	31	31	
172	91	55	44	39	37	35	
173	82	52	46	43	40	35	
174	72	51	42	39	37	34	
175	11	11	11	11	11	11	
176	34	29	27	26	25	26	
177	53	35	32	30	29	28	
178	35	27	25	25	25	26	
179	54	37	34	32	31	29	
180	82	47	41	38	37	35	
181	60	38	34	32	30	28	
182	46	33	30	29	28	28	
183	172	72	53	46	42	35	
184	79	51	43	41	39	35	
185	22	16	16	16	16	16	
186	30	27	26	26	26	27	
187	54	46	41	39	37	34	
188	41	34	33	32	32	31	
189	75	38	34	33	32	31	
190	34	32	30	29	29	29	
191	61	34	31	31	30	29	
192	22	19	19	19	18	19	
193	27	23	22	22	22	23	
194	45	33	31	30	30	31	
195	36	28	28	28	28	29	
196	34	29	28	27	27	27	
197	36	29	28	28	27	27	
198	37	31	29	28	28	27	
199	50	37	33	31	30	29	
200	35	29	27	25	25	26	
201	56	41	36	33	33	31	
202	7	7	7	7	7	7	
203	39	34	31	30	30	29	
204	36	30	28	27	26	27	
205	31	27	25	24	24	24	
206	60	36	31	30	29	29	
207	29	27	25	25	25	26	
208	52	42	37	35	34	32	
209	84	50	44	41	39	35	
210	85	59	50	46	42	35	
211	153	69	52	46	42	35	
212	120	71	54	47	44	35	
213	47	29	25	24	23	22	
214	52	39	34	32	31	29	
215	91	53	42	38	36	34	
216	28	25	24	22	22	21	
217	24	17	17	17	17	17	
218	67	41	35	33	32	31	
219	18	18	18	18	18	18	
220	17	17	17	17	17	18	
221	61	43	37	34	33	31	
222	71	45	38	36	34	33	
223	57	41	36	34	34	31	
224	14	14	14	14	14	15	
225	29	26	26	26	26	26	
226	63	46	41	37	36	34	
227	19	19	18	18	18	19	
228	22	22	21	21	21	21	
229	32	29	29	28	28	28	
230	22	20	20	20	20	21	
231	63	37	33	31	30	29	
232	90	45	37	33	32	29	
233	65	44	39	37	36	35	
234	50	34	31	30	29	30	
235	24	21	20	20	20	21	
236	51	41	37	36	35	34	
237	30	24	24	24	24	25	
238	44	30	28	27	26	27	
239	11	11	11	11	11	11	
240	21	20	20	20	20	21	
241	22	21	20	20	20	21	
242	33	25	24	24	24	25	
